Compound,RF,NN
CMP255,6.526064465,6.080261741
CMP256,8.073690643,9.340757479
CMP257,8.455435146,8.893897805
CMP258,7.685198285,7.041278761
CMP259,9.163646235,10.3686292
CMP260,7.207140121,9.881900886
CMP261,8.468241005,7.27352128
CMP262,9.211020702,9.701721438
CMP263,7.647663967,7.477537429
CMP264,7.187574709,10.28044137
CMP265,7.549501347,7.872176986
CMP266,9.448643166,10.59276509
CMP267,6.919022547,6.115470467
CMP268,9.742608721,9.831640756
CMP269,7.221110095,7.962819539
CMP270,7.498087263,9.525072954
CMP271,6.272782389,6.160774544
CMP272,9.648758105,10.09126686
CMP273,9.275281808,9.000594961
CMP274,6.478347578,8.840210059
CMP275,9.017044532,8.942888211
CMP276,8.797166912,9.305452229
CMP277,9.461010033,7.898990218
CMP278,9.310513368,6.49505505
CMP279,8.970426211,10.90635588
CMP280,9.504769349,9.485529122
CMP281,9.586733575,9.334418732
CMP282,8.907021028,9.868538291
CMP283,8.596039071,10.20450649
CMP284,9.078611822,10.78813872
CMP285,8.521007999,7.910572348
CMP286,9.705588735,10.04453735
CMP287,7.741439638,4.011498184
CMP288,9.264853176,9.065681536
CMP289,9.320664784,9.59248432
CMP290,8.566635938,6.686482576
CMP291,8.676071256,8.374870167
CMP292,8.991145371,7.83826761
CMP293,9.281843738,9.043076769
CMP294,8.98718035,7.80158104
CMP295,9.075647901,9.429929946
CMP296,7.764498668,6.699010482
CMP297,6.870162544,8.57267637
CMP298,9.730351872,9.962046635
CMP299,6.466830036,6.829804938
CMP300,8.963876428,8.666777457
CMP301,7.803341723,6.105964272
CMP302,8.082816392,9.031623946
CMP303,8.511406623,10.2291701
CMP304,7.046260659,7.123792797
CMP305,5.862980147,5.027150009
CMP306,9.225334712,9.09849018
CMP307,8.281755219,5.521027825
CMP308,9.505353365,9.100625207
CMP309,9.59216645,9.232348863
CMP310,7.463337927,3.381726942
CMP311,8.842809944,10.65552642
CMP312,8.802272548,10.05819205
CMP313,7.995456988,8.536510046
CMP314,6.901966419,6.632116466
CMP315,9.421897282,9.272219477
CMP316,9.486094622,9.493876626
CMP317,6.227789479,4.249056704
CMP318,6.577794133,4.862410294
CMP319,8.358088178,9.227915709
CMP320,7.103343838,8.597156871
CMP321,6.455846021,7.245523949
CMP322,6.566699041,4.336896991
CMP323,9.640004391,9.993308665
CMP324,9.630336378,8.755450884
CMP325,6.061172575,4.562452744
CMP326,7.877124369,7.497629356
CMP327,8.969165719,8.622947647
CMP328,7.661605348,8.352459356
CMP329,7.746079654,7.446516139
CMP330,9.565798276,10.20551115
CMP331,8.799727372,6.988512433
CMP332,7.793011276,9.668294176
CMP333,9.395533554,6.99113272
CMP334,7.547298154,6.59415482
CMP335,7.641431433,8.642295093
CMP336,9.689631388,9.777853849
CMP337,8.779455308,8.31752718
CMP338,9.845316288,9.858955522
CMP339,9.589289174,9.423346596
CMP340,9.163092722,4.993262788
CMP341,9.480465031,10.09650747
CMP342,7.920525847,8.178667144
CMP343,9.38357695,8.721141416
CMP344,9.120934135,7.512849595
CMP345,8.967091302,9.554583272
CMP346,9.665917421,10.79271998
CMP347,8.901345931,8.126514966
CMP348,8.289149579,10.609676
CMP349,7.824565567,9.268394027
CMP350,8.03715502,9.764358174
CMP351,9.938024166,10.66957403
CMP352,9.403458182,8.010819616
CMP353,8.62568725,5.882772411
CMP354,9.298376561,9.186877399
CMP355,7.837009497,9.075410409
CMP356,9.303277227,9.52648145
CMP357,8.564782224,6.62929446
CMP358,8.462973417,6.953012582
CMP359,9.3583851,10.38956753
CMP360,9.252762179,8.977756163
CMP361,6.146571067,7.086422749
CMP362,9.452478265,10.42368987
CMP363,9.27177634,10.04157398
CMP364,7.400789205,7.129419416
CMP365,8.405431707,7.088072368
CMP366,9.247006119,8.4728372
CMP367,8.364283102,8.606646556
CMP368,8.331195694,9.173863563
CMP369,6.802617884,6.69514938
CMP370,7.373627777,5.920510409
CMP371,7.297530608,9.244829626
CMP372,6.856407626,3.312402039
CMP373,9.211160548,9.580759914
CMP374,7.682456803,9.422945104
CMP375,6.629993191,7.100560548
CMP376,8.681672267,9.838939818
CMP377,6.961595874,5.819646987
CMP378,8.728216641,10.15881482
CMP379,7.359414098,6.578821215
CMP380,6.708302364,7.672749625
CMP381,9.49536221,9.167405261
CMP382,9.366146822,7.830229197
CMP383,7.353484725,7.878024362
CMP384,8.176048815,7.26310238
CMP385,8.935184526,5.630599701
