"compounds","diff_models","amerdata","nndata"
"CMP91",0.0256239962615226,8.4691720959902,8.44354809972868
"CMP92",1.78569341445597,8.65875236904496,10.4444457835009
"CMP93",1.08826138556917,7.99073000262057,9.07899138818974
"CMP94",0.256241552895792,8.00261791787943,8.25885947077522
"CMP95",2.66526085456782,8.05742246563591,10.7226833202037
"CMP96",0.569204322312814,8.00011478570653,8.56931910801934
"CMP97",1.49748056862467,8.30304628707372,9.80052685569839
"CMP98",2.34553008165176,8.06078685756713,5.71525677591537
"CMP99",0.998257002572895,8.57062809223516,7.57237108966226
"CMP100",3.3707130048206,8.27886512832256,4.90815212350196
"CMP101",0.610013220507064,8.29774276512876,8.90775598563582
"CMP102",1.01250595651163,8.45449783077155,9.46700378728318
"CMP103",0.0104455018935905,8.64615384967192,8.65659935156551
"CMP104",1.82582012202108,8.48980155871713,6.66398143669605
"CMP105",0.174707847893053,8.53823874030892,8.71294658820197
"CMP106",0.189511763573327,8.28442576893318,8.09491400535985
"CMP107",2.28221705831287,8.02122070892585,5.73900365061298
"CMP108",3.1646599483144,8.32020752302653,5.15554757471213
"CMP109",2.64253031531578,8.15915378119013,5.51662346587435
"CMP110",0.0557865339444739,9.07517569134272,9.13096222528719
"CMP111",3.8706962921327,8.29749882932724,4.42680253719455
"CMP112",1.7257445109943,8.04144219621433,9.76718670720863
"CMP113",0.441807304910732,8.54399820437149,8.10219089946076
"CMP114",3.47495287122591,8.18006516535285,4.70511229412694
"CMP115",1.55709906220065,8.79266580925244,7.23556674705179
"CMP116",1.76068207281316,8.27330892482197,10.0339909976351
"CMP117",1.56724793614741,8.5382794684626,6.97103153231519
"CMP118",0.694809180407614,8.90632169909234,8.21151251868473
"CMP119",0.907522243218834,8.14697597006306,9.05449821328189
"CMP120",1.34862980754495,8.08034266294355,6.7317128553986
"CMP121",1.04327402307661,8.15479554954951,9.19806957262612
"CMP122",0.32544361998429,8.0473890031098,8.37283262309409
"CMP123",0.419834661037358,8.01655452296438,8.43638918400174
"CMP124",2.09366988579841,8.11319086195588,10.2068607477543
"CMP125",4.65327655226836,7.97523789617843,3.32196134391007
"CMP126",1.30980551837149,9.17518892672019,10.4849944450917
"CMP127",1.728157607813,8.02561134628152,9.75376895409452
"CMP128",1.12401887104707,7.98781742152038,6.86379855047331
"CMP129",2.17320793144421,8.37477560071837,6.20156766927416
"CMP130",1.33593173156917,9.21029270770139,10.5462244392706
"CMP131",0.396135260811283,8.03531113494415,7.63917587413287
"CMP132",2.19217682679197,8.28004548432664,10.4722223111186
"CMP133",3.17283918819172,9.21178656490357,6.03894737671185
"CMP134",0.550787308385238,7.97662491777952,8.52741222616476
"CMP135",0.857598329332362,8.91993816725235,8.06233983791999
"CMP136",2.37841237719976,9.0154326135883,6.63702023638854
"CMP137",0.625684710484368,7.96851100590643,8.5941957163908
"CMP138",1.90230094374951,8.02392652001813,9.92622746376764
"CMP139",4.60417513931945,7.97707667755126,3.37290153823181
"CMP140",2.24426234496993,8.05822919640578,5.81396685143585
"CMP141",0.512609906007681,8.27844339509817,8.79105330110585
"CMP142",0.775439331257745,9.64501133484075,8.869572003583
"CMP143",0.00786286765847422,8.04197790451991,8.03411503686144
"CMP144",1.46455440003203,7.97007278216143,9.43462718219346
"CMP145",0.193203432294251,8.0890189653909,8.28222239768515
"CMP146",0.0973837055968509,8.66976880504019,8.57238509944334
"CMP147",1.77494845547377,8.33442665053105,10.1093751060048
"CMP148",0.617126569625633,8.23548789055282,8.85261446017845
"CMP149",1.96843650190633,8.75432495449262,10.722761456399
"CMP150",1.07101595740978,8.25980944208805,7.18879348467827
